feature_index,rank_control,rank_nocontrol,interpretation,paralinguistic,paralinguistic_justification,verify_status,verify_date,verify_reason
8134,15,1,Consecutive Newline Token Detector [REFINED]: Feature 8134 is a tokenization-level structural detector that fires on consecutive newline tokens in GPT-2 byte-pair encoding. It detects blank lines or paragraph breaks - specifically the truly empty kind (no spaces or tabs)...,yes,Formatting - consecutive newlines/blank lines,PASS,2026-01-14T22:32:26.802395+00:00,
9404,1874,2,Guacamole/guac bigram detector [CONFIRMED]: Feature 9404 is a highly specific lexical pattern detector that fires on the ac token when immediately preceded by the gu token (with leading space). It detects guacamole and guac when they appear mid-sentence...,no,Lexical - word pattern (guacamole/guac),,,
23933,10,3,located/situated lexeme family [REFINED]: Feature 23933 is a lexical detector for the located/situated word family. Fires strongly on located (0.24-0.26) regardless of domain but requires preceding context. Does NOT fire on spatial descriptions without target vocabulary...,no,Lexical - word family (located/situated),PASS,2026-01-14T22:27:27.270102+00:00,
21422,18,4,"Yelpers word detector [REFINED]: Feature 21422 reliably detects references to Yelpers - Yelp platform users. The underlying mechanism fires on any [X]elpers tokenization pattern. Within Yelp review corpus, 99%+ of activations are on Yelpers. Prefers plural form...",no,Lexical - word pattern (Yelpers),PASS,2026-01-14T22:59:20.356283+00:00,
483,1875,5,"'market' morpheme detector [CONFIRMED]: Feature 483 detects the word 'market' and tokens containing the 'market' morpheme. Fires on noun, verb, and proper noun uses. Requires at least one preceding token.",no,Lexical - morpheme (market),,,
13333,17658,6,Lexical ' shop'/' Shop' token detector [REFINED]: Feature 13333 is a purely lexical token detector that fires on ' shop' and ' Shop' (but not 'SHOP') when appearing after any preceding token. Completely context-agnostic.,no,Lexical - token (shop/Shop),,,
17588,12,7,Paragraph Break Detector [REFINED]: Feature 17588 detects paragraph boundaries marked by double newlines in review text. Has learned to suppress activation for specific common review phrases like 'The service was excellent'.,yes,Formatting - paragraph breaks (double newlines),WARN,2026-01-14T22:31:46.381004+00:00,These are minor/ambiguous issues. The hypotheses describe structural patterns rather than claiming t
23787,44,8,"RETURN TO THIS IF WE CARE: This feature detects a very specific Yelp review opening formula:

  [I/We] + [visited/ate at/dined at] + [this/the] + [descriptive?] + [cuisine] + restaurant + [time phrase] + [positive reaction]

  Required:
  - First person: ""I"" or ""We""
  - Verbs: ""visited"", ""ate at"", ""dined at"" (NOT ""went to"", ""tried"")
  - Article: ""this"" or ""the"" (NOT ""a"")
  - Cuisine type: Mexican, Italian, Chinese, etc.

  Forbidden:
  - Third person subjects
  - ""yesterday"" or ""last night"" as time phrase
  - Evaluative adjectives before cuisine (amazing, excellent)
  - Indefinite article ""a""",no,Discourse - review opening formula (syntactic pattern),,,
5549,334,9,Wide Whitespace Gap Detector [REFINED]: Feature 5549 fires on space tokens within patterns containing 3+ consecutive spaces separating symmetric elements. Detects section dividers (---   ---) and other triple-space patterns.,yes,Formatting - whitespace gaps (3+ consecutive spaces),,,
23862,140,10,Mid-Sentence Yelp Community Term Detector [REFINED]: Feature 23862 detects ' Yel' token when appearing as part of Yelper/Yelpers/Yelping. Requires preceding context. Tokenization-dependent: ' Yelp' single token does NOT fire.,no,Lexical - token (Yelp community terms),,,
5005,4,11,"Vehicle-Stationing Action Detector [REFINED]: Feature 5005 is a Vehicle-Stationing Action Detector that fires on the tokens ' parking', ' parked', ' park' (verb), and ' parks' when used in the context of stationing vehicles. It distinguishes vehic...",no,Lexical - words (parking/parked/park/parks),PASS,2026-01-14T22:24:29.355246+00:00,
23915,408,12,"Sentence-boundary 'See/View' detector [REFINED]: Feature 23915 detects 'See' (and weakly 'View') when appearing after sentence boundary markers. It fires on imperative, explanatory, and interrogative uses alike - the grammatical function is irrele...",no,Lexical - word at sentence boundary (See/View),,,
21813,354,13,Party Size Transition Detector [REFINED]: Feature 21813 detects structural transitions in formatted text following party/group size specifications. It fires on newline tokens when preceded by patterns like 'N adults' and followed by capitalized te...,yes,Formatting - structural transitions on newlines after party size,,,
12189,76,14,Lexical 'space' pattern detector [REFINED]: ,no,Lexical - word (space),,,
17240,436,15,Number + Day-of-Week Pattern [REFINED]: Feature 17240 detects day-of-week names that are immediately preceded by numeric tokens.,,,,,
1219,1876,16,"GPT-2 token ' Reno' detector [REFINED]: Feature 1219 is a token-level detector for the GPT-2 token ' Reno' (with leading space, proper capitalization). Initially hypothesized to detect the city of Reno, Nevada, adversarial challenge testing reveal...",no,Lexical - place name token (Reno),,,
23472,23,17,Novelty Announcement Speech Act Detector [REFINED]: ,no,Discourse - speech act pattern,WARN,2026-01-14T23:06:15.557523+00:00,WARN: High confidence (90%) with multiple false positives (4 FPs)
7327,53,18,"Newline Token Detector (Punctuation-Graded) [REFINED]: Feature 7327 detects newline tokens (\n) in text, with activation strength modulated by the punctuation immediately preceding the newline. Sentence-terminating punctuation (period, question ma...",yes,Formatting - newlines with punctuation-graded activation,,,
20276,2,19,"Yelp Brand Name Detector [CONFIRMED]: Feature 20276 is a highly specific Yelp brand name detector. It fires strongly (0.19-0.38) on the token ' Yelp' when preceded by any context, but shows zero activation for sentence-initial 'Yelp', lowercase 'y...",no,Lexical - brand name token (Yelp),PASS,2026-01-14T22:23:59.934050+00:00,
2597,11,20,"Sentence/paragraph-boundary demonstrative detector [REFINED]: Feature 2597 detects demonstrative pronouns at discourse boundaries with a graduated response pattern. It fires most strongly on 'This' following paragraph breaks (double newline), but ...",maybe,Boundary - demonstratives at paragraph boundaries (formatting context affects lexical item),PASS,2026-01-14T22:28:21.739820+00:00,
19742,17910,21,"Proprietorship Morpheme Detector [REFINED]: Feature 19742 is a morpheme-level detector for proprietorship/ownership vocabulary. It fires on tokens containing 'own-' (owner, owners, owned, owns, ownership) when used as nouns or verbs indicating pos...",no,Lexical - morpheme (own-/owner/ownership),,,
16686,17,22,Paragraph boundary after review/assessment mentions [REFINED]: Feature 16686 detects paragraph boundaries (newlines) that follow sentences containing the word 'review' or related assessment terms. Originally hypothesized as a narrow marker for Yel...,yes,Formatting - paragraph boundaries after review mentions,WARN,2026-01-14T22:59:25.885548+00:00,All tests suffered from shell escaping issues. The newline characters (`\n`) were transmitted as lit
7191,8,23,"Photo Token Detector (space-prefixed) [REFINED]: Feature 7191 is a lexical detector for the GPT-2 token ' photo' (space-prefixed, lowercase). It activates whenever this specific token appears in text, with stronger activation when preceded by visu...",no,Lexical - token (photo),PASS,2026-01-14T22:27:41.098354+00:00,
7907,1,24,"Positive Willingness Infinitive Marker [REFINED]: Activates on 'to' following copula + positive emotion adjective (e.g., 'I'm happy to', 'We're glad to')",no,Syntactic - infinitive marker pattern,PASS,2026-01-14T22:24:04.259738+00:00,
8657,73,25,Non-initial opening/closing gerund detector [REFINED]: Feature 8657 is a lexical-positional detector for non-initial 'opening'/'closing' gerunds. The critical condition is positional (requires left context) rather than grammatical or semantic. Any...,no,Lexical - gerunds (opening/closing) with positional constraint,,,
1022,276,26,"PAST- Subword Continuation Detector [CONFIRMED]: Feature 1022 is a tokenization-dependent subword prediction feature that fires on continuation tokens after the ' past' token. When GPT-2 encounters a word like 'pastelitos', it tokenizes it as [' p...",no,Tokenization - subword continuation pattern,,,
6162,17754,27,Polysemantic: Structured Review Newlines + 2018 Temporal Patterns [REFINED]: Feature 6162 is a polysemantic feature that primarily detects paragraph boundaries in structured Yelp reviews (99% of corpus activations on newlines) but also has a secon...,yes,Formatting - newlines in structured reviews (99% on newlines),,,
23016,5,28,"Dollar Sign + Number Pattern [REFINED]: Feature 23016 is a syntactic pattern detector for the $ + number sequence. It fires on numeric tokens immediately following a dollar sign, regardless of semantic context. The feature activates on prices ($3 ...",maybe,Punctuation - dollar sign + number sequence,PASS,2026-01-14T22:01:29.929547+00:00,
8152,167,29,"Opening/Initiation Continuations [REFINED]: Feature 8152 detects tokens that continue 'open/opened/opens/opening' phrases in contexts of initiation, establishment, or beginning. While most strongly activated by business opening contexts in the Yel...",no,Lexical - continuation tokens after opening words,,,
10100,320,30,Public/Private Distinction Detector [REFINED]: Feature 10100 is a Public/Private Distinction Detector that primarily fires on the token 'public' when used in noun phrases signaling civic/shared accessibility. Activation is strongly amplified by ar...,no,Lexical - word (public),,,
16176,171,31,"Social Interaction/Togetherness Vocabulary Detector [REFINED]: Feature 16176 is a lexical detector for vocabulary related to social interaction and togetherness. It fires strongly on 'social' and variants (socially, socializing, sociable, society,...",no,Lexical - vocabulary (social/socializing),,,
12134,1877,32,"GPT-2 'eria' token detector [REFINED]: Feature 12134 is a GPT-2 BPE tokenization pattern detector that fires when the 'eria' token appears with left context. In the Mexican restaurant review corpus, it primarily detects 'taqueria' (96% of top acti...",no,Tokenization - suffix token (-eria),,,
11579,7,33,"Split Last Name Initial After First Name [CONFIRMED]: Feature 11579 is a tokenization-mediated pattern detector that fires when a single-token first name (like 'John', 'Guy', 'Tom') is immediately followed by a capital letter token that begins a l...",no,Tokenization - name initial pattern,WARN,2026-01-14T22:27:22.980908+00:00,WARN: High confidence (90%) with accuracy only 70% (below 80% threshold)
14772,132,34,"List-closing 'and more' pattern [CONFIRMED]: Feature 14772 is a syntactic pattern detector that fires on the word 'more' when it follows a conjunction (primarily 'and') in list-closing contexts. The pattern 'X, Y, and more' signals an incomplete e...",no,Syntactic - list closing pattern (and more),,,
21331,85,35,Menu Item Price Dollar Sign [REFINED]: Feature 21331 detects dollar signs that indicate menu item prices. It fires on the dollar sign token when preceded by specific food/beverage names in restaurant review contexts. The feature reliably distingui...,maybe,Punctuation - dollar sign for menu prices,,,
20304,148,36,Triple+ Repetition Detector [REFINED]: Feature 20304 is a Triple+ Repetition Detector that fires when text contains a phrase or sequence repeated 3 or more times consecutively. It requires exact phrase matching (no variations or insertions) and ge...,yes,Paralinguistic - triple+ repetition emphasis,,,
10828,961,37,Place name -town/-own suffix detector (tokenization-dependent) [REFINED]: Feature 10828 is a tokenization-dependent detector for place names ending in '-town' or '-own'. It strongly activates on 'Uptown' and 'Midtown' (common in the New Orleans re...,no,Lexical - place name suffix (-town/-own),,,
20937,81,38,Covid Word Detector [REFINED]: Feature 20937 is a highly specific Covid word detector that fires on the 'id' token when preceded by 'Cov' (or similar patterns). It achieves 100% precision on standard Covid references but shows some generalization ...,no,Lexical - word (Covid),,,
22659,65,39,Name Initial Period Terminator [REFINED]: Feature 22659 is a highly specialized detector for periods terminating single-letter name initials. It fires strongly (0.34-0.42) on patterns like 'Steven B.' and 'John F.' but NOT on general abbreviations...,maybe,Punctuation - period after single-letter initials,,,
3080,762,40,' Latin' Token Detector (Non-Initial Position) [CONFIRMED]: Feature 3080 fires on the GPT-2 token ' Latin' at any position except position 0.,,,,,
1177,366,41,Preposition after transfer/receipt past participles (reduced relative preference) [REFINED]: Feature 1177 detects prepositions in reduced relative clauses following transfer/receipt past participles.,,,,,
13214,78,42,Title-case Yes/Yeah with Preceding Context [REFINED]: Feature 13214 detects Title-case 'Yes' and 'Yeah' tokens in non-initial positions.,,,,,
14712,350,43,"Yelp Platform Meta-Reference [REFINED]: Feature 14712 fires on the ' Yelp' token, strongest with 'on Yelp' patterns.",,,,,
14343,200,44,"Containment/Enumeration Predicates [REFINED]: Feature 14343 detects verbs expressing containment or enumeration (includes, contains, offers) when preceded by a subject noun.",,,,,
14292,3,45,Demonstrative + Attributive Modifier [REFINED]: Feature 14292 is a syntactic feature that detects attributive modifiers (adjectives) immediately following demonstratives and demonstrative-like words. It fires when GPT-2 encounters patterns like 't...,no,Syntactic - demonstrative + adjective pattern,PASS,2026-01-14T22:23:59.795382+00:00,
3424,18020,46,,,,,,
4873,26,47,"Material/Ingredient Description Terminator [REFINED]: Feature 4873 detects periods that terminate descriptive phrases listing materials or ingredients. While the corpus (Yelp restaurant reviews) biases the feature toward food ingredients, adversar...",maybe,Punctuation - period terminating ingredient descriptions,PASS,2026-01-14T23:06:22.463710+00:00,
17269,193,48,,,,,,
2305,103,49,,,,,,
6878,17712,50,,,,,,
19179,493,51,,,,,,
19078,36,52,"Cast/Magic Token Cluster [REFINED]: Feature 19078 detects a cluster of GPT-2 tokens including ' cast'/' Cast'/' casting' (all semantic meanings), ' cas'/' Cas' (Spanish-origin words), and ' magic'/' magical'. The critical constraint is that these ...",,,,,
20687,115,53,,,,,,
19444,18062,54,,,,,,
7797,35,55,"Can't/Cannot Wait Pattern [REFINED]: Feature 7797 is a lexico-syntactic pattern detector for the English idiom 'can't/cannot wait [to [verb]]'. While initially interpreted as detecting 'positive anticipation', challenge testing revealed it is sent...",,,,,
20216,1878,56,,,,,,
3682,18239,57,,,,,,
13235,135,58,,,,,,
54,48,59,Lot as Physical Land/Property [CONFIRMED]: Feature 54 is a semantic disambiguation feature that detects when 'lot' refers to a physical piece of land rather than functioning as a quantifier.,,,,,
1874,46,60,Mid-sentence 'finally' detector [CONFIRMED]: Feature 1874 is a lexical detector for the token ' finally' (with leading space) in mid-sentence narrative contexts.,,,,,
16235,68,61,,,,,,
299,17529,62,,,,,,
135,996,63,,,,,,
5643,18074,64,,,,,,
16983,338,65,,,,,,
1090,196,66,,,,,,
4211,372,67,,,,,,
9533,18099,68,,,,,,
18094,124,69,,,,,,
